week,pos_count,pos_avg,neg_count,neg_avg,total_avg
1,3,0.11457048400297465,-3.0,-0.26252867275544906,-7.3979094376237216
2,3,0.03759882661687238,-3.0,-0.034842677632912634,0.1378074491979871
3,4,0.07026559457887843,-2.0,-0.0033960618443662494,4.571170910446353
4,5,0.039296845238652664,-1.0,-0.017245095925846,2.987318837790289
5,4,0.04315684161992672,-2.0,-0.012382253182719294,2.4643810019044716
6,3,0.03152658709439652,-3.0,-0.03976919439345794,-0.4121303649530709
7,5,0.026585030577719902,-1.0,-0.001513431706394175,2.1901953530367555
8,2,0.02375761491095396,-4.0,-0.020350496999591128,-0.5647793029409431
9,3,0.025444366369494913,-3.0,-0.01905964917838106,0.31923585955569245
10,2,0.008117220841507233,-4.0,-0.03212398926727472,-1.8710252564347403
11,4,0.028767758667071097,-2.0,-0.06262650316455698,-0.16969952768049285
12,3,0.039185341866874536,-3.0,-0.018548460375643245,1.0318440745615645
13,4,0.033320153623881354,-2.0,-0.03765623701958298,0.9661356742726576
14,4,0.04651391602846244,-2.0,-0.009704266620095658,2.777452181227641
15,4,0.024334483547838126,-2.0,-0.008754410604988494,1.3304852163562586
16,5,0.043512526269491134,-1.0,-0.05754985754985753,2.6668795632933024
17,3,0.03087056131817027,-3.0,-0.026839434694096997,0.20155633120366354
18,2,0.02733628447054015,-4.0,-0.02290032155799812,-0.615478621515203
19,4,0.026766735134563846,-2.0,-0.004951029907840077,1.619414678709587
20,6,0.014209267680999135,-0.0,0.0,1.4209267680999136
21,3,0.015945146018958207,-3.0,-0.04984221954655373,-1.6948536763797761
22,1,0.03911769774254692,-5.0,-0.03453019467950169,-2.225554594249359
23,3,0.010346830044742239,-3.0,-0.02112460295921333,-0.5388886457235547
24,2,0.02762390811514248,-4.0,-0.01932697476495454,-0.3676680471588867
25,4,0.03806234829957228,-2.0,-0.030982300057649514,1.5047465513831682
26,4,0.05443428850569476,-2.0,-0.0024439549627147117,3.5474874016224933
27,0.0,0.0,-6.0,-0.02515636726898185,-2.515636726898185
28,4,0.030751729342604728,-2.0,-0.032267863837805,0.9745198282468152
29,2,0.02863140251801466,-4.0,-0.03000879260972561,-1.0462060900478853
30,2,0.042253558509083855,-4.0,-0.024953128177752498,-0.2550899282140381
31,1,0.04343484772840722,-5.0,-0.01987932487962656,-0.9326962778287595
32,1,0.03417015341701535,-5.0,-0.014060706861265393,-0.6022230148218604
33,2,0.04005505229637385,-4.0,-0.02061173352614415,-0.038947158530481626
34,3,0.01918914395855542,-3.0,-0.032944902538035094,-0.6877879289739837
35,5,0.05333469339538941,-1.0,-0.05406555981268624,3.5434651194043467
36,3,0.025222345671795265,-3.0,-0.039538783774311005,-0.715821905125787
37,2,0.02966510565143521,-4.0,-0.03875205570498319,-1.5946335252843724
38,4,0.021217542851038496,-2.0,-0.04097959028639436,0.048516513856087615
39,3,0.029532522781482884,-3.0,-0.026027205726841623,0.17526585273206313
40,2,0.02273536225640882,-4.0,-0.028157390113310782,-1.1193139323404246
41,3,0.04917758654953527,-3.0,-0.036405550704711596,0.6386017922411835
42,3,0.00838811047399172,-3.0,-0.026547378121260217,-0.9079633823634248
43,2,0.05068781898438934,-4.0,-0.026883012662710398,-0.10260687803438177
44,3,0.031283103563523706,-3.0,-0.0411307630620511,-0.49238297492636973
45,1,0.012380615493456038,-5.0,-0.02629374499487085,-1.9848018246816368
46,2,0.03491700468565939,-4.0,-0.03834031792771503,-1.3921210389923555
47,3,0.02503728012984241,-3.0,-0.058051019256257254,-1.6506869563207422
48,2,0.05100410889785534,-4.0,-0.04763788847653186,-1.475722268506946
49,1,0.05789849892780552,-5.0,-0.020013593326455137,-0.7028244617411694
50,2,0.010856074046019626,-4.0,-0.04163213603053317,-2.413606600501557
51,4,0.013729080790754522,-2.0,-0.06476029940874906,-1.2434045942413339
52,4,0.04747156713762585,-2.0,-0.006465270937118295,2.9492621112711133
53,1,0.0062483020918226995,-0.0,0.0,0.62483020918227
