ticker,p-value,h
AAPL,0.028362878547860525,0.7437283988255812
MO,0.532829144669834,0.5711830645807082
T,0.25363123756861394,0.5562752629993434
BKH,0.36793452442132224,0.6508100979716257
CVX,0.3810934448859249,0.43359267736362667
KO,0.39699887713909743,0.5970750381377637
CBU,0.14997128958647232,0.5343324386643837
ED,0.60538976210467,0.5424871196028337
XOM,0.009904657655116443,0.4472168232788935
FRT,0.11385834290973773,0.4964729418702522
HP,0.33687866701676494,0.5434160602119573
KMB,0.1589992836574876,0.5555162249918479
LEG,0.1285636752071398,0.5558990425957854
MCY,0.17153570146374092,0.5304261806717598
MDP,0.03875958058759071,0.5967517145024156
NNN,0.5717479773051528,0.6422777592737741
NWN,0.27245087743517715,0.5746924518775813
ORI,0.5720448973573521,0.5749872394166688
PG,0.3220334579721854,0.7353291906011196
O,0.45055239954169696,0.6816889754097859
TGT,0.33775486100778684,0.738472173921166
UBSI,0.11179276056783427,0.48406508008232685
UVV,0.11009974329337924,0.4905098030752461
UHT,0.030941067743957898,0.7416205257202577
SRCE,0.18484293702154414,0.535587020313682
MMM,0.4055368781836715,0.5366897349276021
AOS,0.47031581799682975,0.5363571573728545
ABM,0.257538015408212,0.5357700728494346
AFL,0.8715958274256,0.6201128327790847
APD,0.43157479597888954,0.6749929215609534
AWR,0.7556010395993349,0.7436436163454153
WTR,0.021844365527827397,0.6545534074986851
ADM,0.12342746709703867,0.4977654853715057
ATO,0.6654921884524215,0.6591547702726234
ADP,0.7873783319172474,0.6553867514761291
BMI,0.43769531928255057,0.5685730971004157
BDX,0.5696858986675,0.5421636921090317
BRC,0.30205968906710245,0.6519964700793599
BF-B,0.5068069859947826,0.6571030022359904
CWT,0.8384289978649184,0.6012947546413414
CSL,0.22878704933671357,0.642737622236
CPKF,0.9498031127619363,0.6139130024220268
CINF,0.6508809032032365,0.6885301920040755
CTAS,0.5631353947950765,0.7613750360786182
CLX,0.6413250996865315,0.5133515201444266
CL,0.14435538795187003,0.48709032009901004
CBSH,0.2791145199892774,0.5876447942059866
CTBI,0.053039144992196446,0.4752779889482108
CSVI,0.23643502852347398,0.78571610234692
CTWS,0.6631358201958373,0.5492735957093935
CFR,0.28777528728753055,0.4990889466971162
DCI,0.23701693522724582,0.48955053598040754
DOV,0.2508031138346508,0.6902650145960142
EFSI,0.876635598071342,0.5693723108029086
EV,0.6194450504151192,0.6124184835490979
ECL,0.6944333817471848,0.6904906746060585
EMR,0.18725142982544685,0.5033537144307868
ERIE,0.7105149469668828,0.7824429707602006
THFF,0.03401411312624755,0.4405328949948449
FELE,0.03801457906196348,0.5387857951304229
BEN,0.21678091295119595,0.5329224332042024
GD,0.1787237980257611,0.540579590904291
GPC,0.2315670946118853,0.4991003148681229
GRC,0.19454144144970215,0.5405746060204073
FUL,0.05771153543245779,0.45314740432949513
HRL,0.37874484381855045,0.6054311266746927
ITW,0.24608661040041035,0.5727830064830737
JKHY,0.8875141447976846,0.6402199128339884
JNJ,0.32292580772823565,0.46520929598017396
LANC,0.5151871113490061,0.5939178470488741
MKC,0.5777272962536816,0.6780732708254881
MGRC,0.4603015880353956,0.7146219299148352
MDU,0.011498833384442339,0.5152764065746781
MDT,0.09439938084259392,0.6502461340043384
MGEE,0.17194182931536228,0.5835830220776026
MSEX,0.4860510657617524,0.6412208153975893
MSA,0.2022834406300254,0.6898896535134783
NC,0.7463568028350578,0.7117051669579902
NFG,0.08181931941964782,0.5059619012878929
NDSN,0.05434478309874831,0.5241928638906606
NUE,0.03050968104696175,0.4374724879258763
PH,0.07193793671513775,0.4908328899781203
PNR,0.10933619454856414,0.4503871272576487
PEP,0.3751365957351602,0.6265822386305866
PPG,0.14207356499798413,0.5158806402750012
RLI,0.5520032346363628,0.7197511330258973
ROP,0.8054052403355715,0.6483672663064977
RPM,0.2854811574561352,0.6226190286031984
SPGI,0.4205239421935425,0.7466862296736642
SEIC,0.7037144153241984,0.6328124191738617
SHW,0.3991031842767771,0.6723269430378886
SJW,0.25654928525950355,0.5320433328300892
SON,0.46987616310286373,0.5779037267908823
SWK,0.11615320834483939,0.5311956265151163
SCL,0.06750843706221925,0.5048756084965592
SYK,0.7725380926355219,0.6145727649434867
SYY,0.5117643100958342,0.6759372566462433
TROW,0.7013771729931061,0.6482292906241458
SKT,0.9073384718698012,0.6053341745502191
TDS,0.08344742355293566,0.47274548127328697
