ticker,p-value,h
AAPL,0.05915674625974708,0.9836043351408545
MO,0.5179644222542283,0.7368794629941203
T,0.9128812714214736,0.5454735541024421
BKH,0.0012757417717112528,0.39206300015129114
CVX,0.048582676229824394,0.37876713815711527
KO,0.012652589765372688,0.5675975643308564
CBU,0.5882870496277346,0.6236658810459386
ED,0.5187973001998497,0.3934857614930203
XOM,0.06351404634144756,0.29570531448006926
FRT,0.3487024347657416,0.46759252472521046
HP,0.45547278930677854,0.330805822657199
KMB,0.018334586193919637,0.3235867229878886
LEG,0.8108731893050409,0.7808697498081397
MCY,0.9611327735266694,0.6115118983037214
MDP,0.9972719910969717,0.5842302875293028
NNN,0.48429577580197436,0.44976875836529107
NWN,0.10612632805924327,0.6180475962379994
ORI,0.397717500293556,0.5213206352595786
PG,0.35882439705375346,0.4185315473341888
O,0.8556232345210923,0.5447984462577885
TGT,0.927207699464988,0.6546692634934891
UBSI,0.3021051974347233,0.49293341665016116
UVV,0.5291685482822763,0.4157149449000167
UHT,0.802123415517068,0.7878034757645761
SRCE,0.7684561196476103,0.6568612060065732
MMM,0.299268452663429,0.5423204385348079
AOS,0.44657467263334444,0.42218894227464
ABM,0.7196667555660213,0.6349618002023176
AFL,0.154133067127885,0.5281308417398171
APD,0.24275528231133714,0.5275956623384185
AWR,0.8659648798877237,0.48747885237414956
WTR,0.022910861838866266,0.6687785803426354
ADM,0.6230357854823299,0.6339878389164125
ATO,0.02883314662968068,0.4309247753216608
ADP,0.04906292675296819,0.5342105512291816
BMI,0.6874243511004858,0.6483015051420579
BDX,0.1054056164957397,0.4889855816326509
BRC,0.6087486689788123,0.6967788518411341
BF-B,0.7307508150287004,0.6543580076238125
CWT,0.1762199323179135,0.44275864009363525
CSL,0.7136510794140548,0.5739501270836922
CPKF,0.7873622816044161,0.5734281004756194
CINF,0.6353597052327211,0.549648063164472
CTAS,0.03388875477735692,0.5282974076256941
CLX,0.8213677187156638,0.5399706266962788
CL,0.6092231552080476,0.5159001713647821
CBSH,0.5878413938770883,0.7899491778245913
CTBI,0.6684653099665951,0.7025139937948425
CSVI,0.29729386092141785,0.5820218325098168
CTWS,0.2342690887110252,0.42444048205075335
CFR,0.5468842451336926,0.6306981082816417
