ticker,p-value,h
CB,0.7243878499975913,0.6235775758191953
JW-A,0.2928642602067946,0.5376786428908922
PSBQ,0.2037017422196007,0.5343318226971773
SPX,0.3096072147421283,0.6748698250934514
VGR,0.4607101225678919,0.5929602403971017
APU,0.2176639303594443,0.5972175528116385
WES,0.5627999405652702,0.6297108861088561
HEP,0.042287342894186335,0.49002201888888774
ET,0.2968884161352232,0.4903954250242052
WHG,0.3183211442156245,0.6466126933491677
OHI,0.10742748482886327,0.6212516528079058
EPD,0.27258667200371356,0.5510346370267151
ENB,0.10616434239767769,0.5188790922966517
MMP,0.03357534646842212,0.46282288276789746
WPC,0.40198733873830345,0.7016718803757234
OKE,0.4518446854636556,0.8076462685572205
PPL,0.10482782241951505,0.5632432990946658
PM,0.5126915426526529,0.5558651986146242
UBA,0.07766832969253669,0.5471952631228292
NHI,0.3540302726702988,0.6278018235629415
SO,0.017547788839991446,0.6657743710432641
IBM,0.04741760317523415,0.5264080751196376
BIP,0.24033728714967278,0.7974342505349482
GIS,0.31161597861840856,0.5932304119945269
D,0.0963836243057809,0.5374519970749295
PETS,0.6856858102173431,0.7241707720808216
OXY,0.17159024263125927,0.6011193224404712
LAZ,0.29839696123516524,0.6024617678970972
PFG,0.534987313169785,0.6644362862648858
EIX,0.11002005311161422,0.5290763367329087
QCOM,0.014647375185766838,0.6177324260741602
ISBA,0.9600789639702697,0.5515207672735454
DUK,0.3152899826434932,0.5897580161786508
DGICB,0.3117597217331762,0.45389331789570175
VZ,0.351010276902243,0.5731009362473746
CNP,0.7817916029127334,0.6835251626959762
DGICA,0.1993061992303472,0.49298963285465447
MYBF,0.11601684510102328,0.6045787891470558
WRK,0.5838268153122678,0.6374006587699721
PRU,0.6131352837340889,0.6427604435491536
R,0.26591027537694106,0.5308337602103146
SJI,0.4876347110145968,0.5419800023081773
OGE,0.2430118366473385,0.697201589978033
FLO,0.17143577050531422,0.5477107966370809
K,0.2012907711791398,0.5060356541744233
SBSI,0.47705834854589885,0.6289463099273513
DLR,0.7193266037708763,0.6516757108284653
BG,0.4071538977364188,0.5221668258106945
CAH,0.5212052591795667,0.5089513434515192
NWE,0.26833958214166564,0.5961518894530932
LARK,0.921079158704158,0.575009497552671
MXIM,0.6449475609673851,0.6282521021520207
BMRC,0.6625490782027146,0.65335404829594
ODC,0.12205169822326734,0.5495937497790474
SJM,0.13382469394064994,0.4979685538441913
EVRG,0.42334269991686957,0.6066679667233339
TJX,0.2057630191475402,0.6560196087540594
THVB,0.525247678411668,0.6634406699773218
DTE,0.49047989979312795,0.6819771889057642
FLIC,0.8576009273996656,0.6459863129739548
