ticker,p-value,h
AAPL,0.16536596539536857,0.8901532320009135
MO,0.4515814064304804,0.6039322325132865
T,0.8072896844357789,0.6796930033057346
BKH,0.9472744311567818,0.49483934436432986
CVX,0.06412013495437366,0.36250005296617177
KO,0.5139256158829458,0.6300437095241964
CBU,0.3445553333538363,0.5603416520392328
ED,0.9629343490868036,0.5179593543318842
XOM,0.35501023637766627,0.4451162567678246
FRT,0.03361892610904324,0.3781422447664842
HP,0.6759496269534231,0.6185029214376797
KMB,0.951953899829016,0.5277299963949214
LEG,0.4884466555475497,0.7050620031358478
MCY,0.5094351188349302,0.5980323014740931
MDP,0.5286137318578331,0.6630941459497707
NNN,0.21481796736704656,0.4489578036062679
NWN,0.44937314196323724,0.5961817866699002
ORI,0.86227355143212,0.6079161491816714
PG,0.950811885139959,0.6998358185624838
O,0.6935089068665934,0.5502114673705023
TGT,0.8509065485179772,0.7757558605989241
UBSI,0.13416961927231635,0.4211909478249555
UVV,0.09607907476918293,0.3905041361576339
UHT,0.80341530294973,0.8348009739866933
SRCE,0.41896473501695025,0.5451573511425616
MMM,0.6431567262535499,0.5362653346538828
AOS,0.3264424921886838,0.49267871121197127
ABM,0.34004738695055464,0.5259458779723728
AFL,0.7789918738516866,0.546300251667004
APD,0.9815342984176182,0.613410770470477
AWR,0.9175405728494819,0.7337480267148642
WTR,0.9220067365355525,0.7620048730189743
ADM,0.17177978288274354,0.5628599118487493
ATO,0.7237966511965133,0.6029113163718516
ADP,0.862515296846011,0.5574370406363719
BMI,0.313855479976778,0.5203715491037763
BDX,0.05849496038293178,0.5329528963629048
BRC,0.7420463189171378,0.6166902572408414
BF-B,0.711234976159747,0.73352576177412
CWT,0.47016166089873507,0.48466004995224604
CSL,0.9391620408960957,0.6373314330857216
CPKF,0.19289910724235704,0.588997552840669
CINF,0.9910884273850357,0.7578529941412976
CTAS,0.8920023189610138,0.7017276262541652
CLX,0.026615229837943642,0.4026228490236981
CL,0.8562886735308911,0.504031066911259
CBSH,0.1684348389513221,0.6546730446107547
CTBI,0.41717077226480453,0.565379160476209
CSVI,0.9596805979881533,0.7890322604033815
CTWS,0.20817314387231534,0.4621538973253554
CFR,0.30974378881768355,0.5610531083492791
DCI,0.4997303800490383,0.49014386416524414
DOV,0.7139124322712409,0.7247840033478198
EFSI,0.03273244945124687,0.38031124098670605
EV,0.44209398340071737,0.556377641534397
ECL,0.9586557712373653,0.5670405926967302
EMR,0.41350276817661324,0.679750598638058
ERIE,0.9091678664872038,0.730130270330751
THFF,0.27599828293663564,0.5296078606538093
FELE,0.2956337049300445,0.6163805333603057
BEN,0.5051178828285215,0.568350599358395
GD,0.20890974758893704,0.4992611025364185
GPC,0.36889529898087237,0.514780841183577
GRC,0.3270139481641662,0.6101510417760122
FUL,0.2694355239489117,0.4949939920649404
HRL,0.03323175928803163,0.5360249509863904
ITW,0.6836001726516182,0.6657596755887385
JKHY,0.23678527060907617,0.44057067186197174
JNJ,0.12436253369586497,0.47999073274503806
LANC,0.07776135899431003,0.44648118665598713
MKC,0.9715601106332507,0.5445343849305747
MGRC,0.8065339686308839,0.7203251638312574
MDU,0.5953910283508612,0.6654772044782896
MDT,0.5490790609486836,0.8130050748508575
MGEE,0.8985481985199271,0.5838137381322429
MSEX,0.2137313252309601,0.45327024014285483
MSA,0.19229756942151477,0.7188320024304518
NC,0.8082601958982555,0.6403471029146148
NFG,0.7425893261501614,0.65577686606528
NDSN,0.3417871262200236,0.6045466617417083
NUE,0.33123415089380376,0.48160690044642784
PH,0.5294224997419145,0.5933836834158374
PNR,0.250055617199316,0.6079382569035653
PEP,0.9821845878853511,0.65500989269603
PPG,0.7727473676388431,0.5609962858794626
RLI,0.9755599852596336,0.6771244986559456
ROP,0.9580632848108966,0.5323109439134391
RPM,0.8124889511364454,0.7282744933534898
SPGI,0.651529285609634,0.7846690680067484
SEIC,0.6857604713249001,0.6669103578666311
SHW,0.8462967122296082,0.7475541937859729
SJW,0.6506660531436176,0.6057489045748966
SON,0.6332379645755837,0.5256651480004483
SWK,0.47544794150950687,0.6103026740618835
SCL,0.5073935640348542,0.5507885727265415
SYK,0.9354901253609477,0.5879196419268957
SYY,0.8816924682794516,0.6721893712751547
TROW,0.3579364656777799,0.7124329779069383
SKT,0.943089674889746,0.575677581602678
TDS,0.7679096812697987,0.6056140922605194
TNC,0.37359190832434397,0.6514825992589396
TMP,0.44764483773517066,0.5821733689648847
TR,0.7116675411605262,0.46372989084671834
UGI,0.45545426988814847,0.6051311453944163
UMBF,0.016858780669655255,0.38103311394375833
VFC,0.2350734429050319,0.4622718532487885
GWW,0.3475796070480154,0.5741294436525656
WBA,0.8102800657579294,0.5668159447892942
WMT,0.9440132687204218,0.638601187471616
WST,0.7830078135250282,0.7370491817902063
WABC,0.19979090587373094,0.4662308362969708
WEYS,0.5327122459010101,0.4952681921324732
AROW,0.5514070932322691,0.5689567058206271
ARTNA,0.029082161122716506,0.3938638245060458
ATR,0.915434070932142,0.5580496771270453
CAT,0.15546438168911392,0.5385008249770618
CB,0.9788505503345712,0.6040571476140458
JW-A,0.11492412625767978,0.44471951652398617
PSBQ,0.6251586909557847,0.6323906122737667
SPX,0.5240286807449507,0.6640187811179804
VGR,0.515635777096368,0.678050026271396
APU,0.49114273097861283,0.6694204333916216
WES,0.5507367085062668,0.6985913816928055
HEP,0.7041406462253083,0.6389225214133848
ET,0.33470295784508053,0.5111840009166619
WHG,0.6101137123150318,0.4989521966866597
OHI,0.4820385275587489,0.6359199348422002
EPD,0.231235996983702,0.5187048978736944
ENB,0.09170443651351762,0.6120297362554834
MMP,0.502520740879948,0.5113779904131536
WPC,0.9009440431133071,0.6013755267518945
OKE,0.5937651357649383,0.528085199287978
PPL,0.26897988566617403,0.6747229402604253
PM,0.4550305055438867,0.501428412478181
UBA,0.6400028730144772,0.6155859411971095
NHI,0.09076902183959834,0.5090689580998842
SO,0.9036469006792424,0.7845460022088728
IBM,0.04318473145174434,0.4469247913591864
BIP,0.6328433131863053,0.8032117475897839
GIS,0.9111731245085961,0.5156076676552884
D,0.8922837817033742,0.5788087611191539
PETS,0.33590654275203735,0.6516451671777407
OXY,0.9235457118109149,0.6206728750760415
LAZ,0.07591304893435386,0.634083287100366
PFG,0.36971356395758515,0.43667519964498086
EIX,0.7239926586260087,0.6448068586792924
QCOM,0.6996131705724847,0.6577056428546043
ISBA,0.2831525408259005,0.5464251635361898
DUK,0.7541862061006943,0.5131660646761127
DGICB,0.508224522335737,0.32730409731036114
VZ,0.43936593446139993,0.5097041634510321
CNP,0.184511156027809,0.5321806230088503
DGICA,0.5582565963855949,0.43269733595687354
MYBF,0.5018923144027553,0.5027112676379365
WRK,0.1387828204783217,0.5203259150694106
PRU,0.3085052941698643,0.5589380013651608
R,0.2738342759685009,0.4748761398608697
SJI,0.26183894308056516,0.4187680534058891
OGE,0.15201402104052836,0.5084955365937766
FLO,0.9056294842664903,0.5559478491074316
K,0.26153523744982665,0.6830391298412065
SBSI,0.11607198381429334,0.5650500502665211
DLR,0.5685481338377474,0.5196302761385686
BG,0.2871353264614787,0.40108276695855444
CAH,0.18554119419151438,0.5027825322394541
NWE,0.9477838515775655,0.4859702725156587
LARK,0.10747490087971134,0.5201947778250982
MXIM,0.08065803332778315,0.43429134479466386
BMRC,0.14227857188898524,0.4838277774749329
ODC,0.43035937892531556,0.48543221641766804
SJM,0.7718627604984469,0.5233610952177155
EVRG,0.21885594707098804,0.6740027173512214
TJX,0.5247720474731324,0.6118157553429844
THVB,0.5028645951217586,0.49449448753523173
DTE,0.7676550844545791,0.5454035043148984
FLIC,0.6563878003017705,0.560766466212307
AMNF,0.984785670723792,0.5500109022507015
BHB,0.16028064735188163,0.40614344632500304
SRE,0.9263028010052354,0.7110806004258207
TXN,0.4736810607800286,0.5731985968751976
HUBB,0.8506082222111697,0.632215919469145
WEC,0.8718224435232635,0.6825424554901052
WSM,0.6530219432448309,0.6466413411139892
CMI,0.794411520801406,0.5732384689154562
POR,0.9832279726522785,0.609281126031488
SR,0.5059459437615814,0.49131359791317425
ACU,0.7633823422753436,0.5124365054115427
EAT,0.061097158025168415,0.44427447012456717
ES,0.529073999471644,0.729151316257524
LNT,0.9198001548258115,0.7400597162691538
OZK,0.17770447365497788,0.5086643782088447
LMT,0.800824839582863,0.8046915401025425
CCFN,5.357027900362241e-05,0.44223606965592555
NKSH,0.573415059263521,0.5969817982127148
XEL,0.9849036528478151,0.6336234826763365
UNM,0.5570549834862473,0.6047898301117488
CZFS,0.5230328724143279,0.4350945944718754
BKUTK,0.14395716550108628,0.42885865773824133
AVA,0.8389889130794768,0.6870623467101911
MSM,0.49991209406895454,0.4936210275434588
ESS,0.9614161849011648,0.6139066493752653
AXS,0.7846488972785488,0.562910765065685
BBY,0.3158443030182092,0.6138218548054283
AMP,0.5699690532415373,0.6398407380317246
HAS,0.5123325443499982,0.5325454904595667
CBRL,0.09576812816967406,0.3878083514464922
CMS,0.8562788676374297,0.654191092807472
FAST,0.4474235603156418,0.5028747208741154
LYBC,0.014287097779529733,0.51228128960507
SWX,0.7555880550061299,0.5967431973245669
FFMR,0.3379174494443328,0.42735170036509795
NIDB,0.7894022284037181,0.6221626378300745
AUBN,0.09741327694303337,0.7564827699312506
NWFL,0.3930977927856372,0.548575665457558
PII,0.18477361382631874,0.41392536126626944
AIZ,0.9030011925852348,0.7741357761660229
NEE,0.652879441470111,0.7915380724002455
EVR,0.28021268782226083,0.46536835773009827
TIF,0.4092712648212514,0.6510198448885902
NJR,0.38123830344596504,0.5461943261275964
NHC,0.27417823762236215,0.49499235586039986
BOKF,0.23901956589451928,0.4352971478105777
PB,0.0891286928912175,0.4096305937092523
